time,black,white,total,empty,temperature,luminosity,albedo,regulation_error
0,180,720,900,0,-1.9965885219056738,1.0,0.65,24.496588521905675
1,198,701,899,1,-2.3473780265746806,1.0,0.6396111111111111,24.84737802657468
2,217,679,896,4,-1.5916969330915216,1.0,0.6278888888888888,24.091696933091523
3,231,662,893,7,-0.43178128056147197,1.0,0.6189444444444444,22.931781280561474
4,248,644,892,8,0.8863071599452992,1.0,0.609111111111111,21.6136928400547
5,264,629,893,7,2.2216860187885703,1.0,0.6006111111111111,20.27831398121143
6,277,616,893,7,3.4167093467708978,1.0,0.5933888888888889,19.083290653229103
7,296,598,894,6,4.858092092202395,1.0,0.5832222222222222,17.641907907797606
8,311,580,891,9,6.430896069694927,1.0,0.5737222222222222,16.069103930305072
9,336,555,891,9,8.297374644288045,1.0,0.5598333333333332,14.202625355711955
10,356,536,892,8,9.96942876454247,1.0,0.549111111111111,12.53057123545753
11,368,524,892,8,11.518177650185955,1.0,0.5424444444444444,10.981822349814045
12,379,512,891,9,12.723755485138492,1.0,0.5359444444444444,9.776244514861508
13,391,500,891,9,13.98502755709951,1.0,0.5292777777777778,8.51497244290049
14,402,489,891,9,15.072275773936282,1.0,0.5231666666666667,7.427724226063718
15,411,482,893,7,16.082122023979615,1.0,0.5189444444444444,6.417877976020385
16,423,471,894,6,16.956452565480213,1.0,0.5126666666666666,5.5435474345197875
17,435,459,894,6,18.096045482261992,1.0,0.506,4.403954517738008
18,450,448,898,2,19.009840568406332,1.0,0.4992222222222222,3.4901594315936677
19,460,438,898,2,19.871848496167715,1.0,0.49366666666666664,2.628151503832285
20,467,433,900,0,20.602222377539025,1.0,0.4905555555555556,1.8977776224609748
21,474,426,900,0,21.55517075500499,1.0,0.4866666666666667,0.9448292449950095
22,483,417,900,0,22.495814429214583,1.0,0.4816666666666667,0.0041855707854168145
23,491,408,899,1,23.10826392044435,1.0,0.47683333333333333,0.608263920444351
24,499,399,898,2,23.853249362810363,1.0,0.472,1.353249362810363
25,508,391,899,1,24.5690564930307,1.0,0.46738888888888885,2.0690564930307005
26,515,383,898,2,25.410349465154844,1.0,0.46311111111111114,2.9103494651548445
27,522,377,899,1,26.15577465743301,1.0,0.4596111111111111,3.6557746574330103
28,524,374,898,2,26.678172212317413,1.0,0.4581111111111111,4.178172212317413
29,534,366,900,0,27.185186454934808,1.0,0.4533333333333333,4.685186454934808
30,542,358,900,0,27.93100872531005,1.0,0.4488888888888889,5.4310087253100505
31,549,350,899,1,28.751606299301375,1.0,0.44461111111111107,6.2516062993013755
32,556,344,900,0,29.321200005811015,1.0,0.4411111111111111,6.821200005811015
33,561,339,900,0,29.833960840135926,1.0,0.43833333333333335,7.333960840135926
34,566,333,899,1,30.39795269812543,1.0,0.43516666666666665,7.8979526981254295
35,562,337,899,1,30.50485487964941,1.0,0.4373888888888889,8.004854879649411
36,565,334,899,1,30.462859682697626,1.0,0.4357222222222222,7.962859682697626
37,571,328,899,1,30.83599407071001,1.0,0.4323888888888889,8.335994070710012
38,572,327,899,1,31.09328298242063,1.0,0.4318333333333333,8.593282982420629
39,572,324,896,4,31.432039935240876,1.0,0.4306666666666667,8.932039935240876
40,572,326,898,2,31.49636216316855,1.0,0.4314444444444444,8.996362163168548
41,554,345,899,1,30.869355903931496,1.0,0.4418333333333333,8.369355903931496
42,537,362,899,1,29.720907434925213,1.0,0.4512777777777778,7.220907434925213
43,527,372,899,1,28.46142281977962,1.0,0.4568333333333333,5.961422819779621
44,513,387,900,0,27.34829110519287,1.0,0.465,4.848291105192871
45,502,397,899,1,26.14972514008763,1.0,0.4707222222222222,3.6497251400876287
46,491,409,900,0,25.058127008468475,1.0,0.4772222222222222,2.5581270084684746
47,476,424,900,0,24.037864277697498,1.0,0.4855555555555556,1.5378642776974978
48,465,435,900,0,22.956454522204595,1.0,0.49166666666666664,0.45645452220459504
49,454,446,900,0,21.913824534622925,1.0,0.49777777777777776,0.5861754653770745
50,442,458,900,0,20.80406388533565,1.0,0.5044444444444445,1.6959361146643488
51,437,462,899,1,19.907237589086904,1.0,0.5068333333333334,2.592762410913096
52,431,468,899,1,19.186915968345737,1.0,0.5101666666666667,3.313084031654263
53,429,471,900,0,18.69423746461885,1.0,0.5116666666666667,3.805762535381149
54,428,472,900,0,18.298213254010108,1.0,0.5122222222222222,4.201786745989892
55,429,471,900,0,18.19701587385175,1.0,0.5116666666666667,4.3029841261482495
56,426,474,900,0,18.067453942731703,1.0,0.5133333333333333,4.432546057268297
57,430,470,900,0,18.04593325000227,1.0,0.5111111111111111,4.454066749997729
58,426,474,900,0,18.03585712235368,1.0,0.5133333333333333,4.464142877646321
59,421,479,900,0,17.820706561564446,1.0,0.5161111111111111,4.679293438435554
60,423,477,900,0,17.55520479908807,1.0,0.515,4.94479520091193
61,429,471,900,0,17.790492896896577,1.0,0.5116666666666667,4.709507103103423
62,430,469,899,1,18.24047295663725,1.0,0.5107222222222222,4.259527043362748
63,430,470,900,0,18.29997919980549,1.0,0.5111111111111111,4.200020800194508
64,430,470,900,0,18.34689958677864,1.0,0.5111111111111111,4.15310041322136
65,430,470,900,0,18.35319251487619,1.0,0.5111111111111111,4.146807485123809
66,435,465,900,0,18.497098195617706,1.0,0.5083333333333333,4.002901804382294
67,441,459,900,0,18.840959508605266,1.0,0.505,3.659040491394734
68,446,454,900,0,19.30333434053709,1.0,0.5022222222222222,3.1966656594629086
69,451,449,900,0,19.6306522629329,1.0,0.49944444444444447,2.8693477370670983
70,460,440,900,0,20.15479289855718,1.0,0.49444444444444446,2.3452071014428206
71,470,430,900,0,20.917419888772297,1.0,0.4888888888888889,1.5825801112277027
72,475,424,899,1,21.624880527528177,1.0,0.4857222222222222,0.8751194724718232
73,480,417,897,3,22.24159357747035,1.0,0.4821666666666666,0.2584064225296494
74,487,412,899,1,22.892580292762684,1.0,0.4790555555555555,0.392580292762684
75,494,406,900,0,23.45633181096371,1.0,0.47555555555555556,0.9563318109637109
76,496,403,899,1,23.783520499043178,1.0,0.4740555555555555,1.2835204990431777
77,501,399,900,0,24.200487612878465,1.0,0.4716666666666667,1.7004876128784652
78,507,393,900,0,24.620452104193284,1.0,0.4683333333333333,2.1204521041932836
79,513,387,900,0,25.199157547613492,1.0,0.465,2.699157547613492
80,516,384,900,0,25.717158469109794,1.0,0.4633333333333333,3.217158469109794
81,527,373,900,0,26.274844628632454,1.0,0.4572222222222222,3.7748446286324544
82,533,366,899,1,26.949188132314287,1.0,0.45349999999999996,4.449188132314287
83,537,363,900,0,27.33923011775453,1.0,0.45166666666666666,4.8392301177545285
84,540,360,900,0,27.841862551301695,1.0,0.45,5.341862551301695
85,540,360,900,0,28.031382792423408,1.0,0.45,5.531382792423408
86,534,365,899,1,28.152235920425866,1.0,0.4529444444444444,5.652235920425866
87,535,363,898,2,28.168717992880364,1.0,0.45199999999999996,5.668717992880364
88,538,359,897,3,28.168033287055053,1.0,0.4499444444444444,5.668033287055053
89,535,363,898,2,28.316007455455463,1.0,0.45199999999999996,5.816007455455463
90,528,370,898,2,28.16203055858559,1.0,0.45588888888888884,5.662030558585592
91,526,374,900,0,27.62018840595796,1.0,0.4577777777777778,5.120188405957961
92,522,377,899,1,27.183099324225935,1.0,0.4596111111111111,4.683099324225935
93,517,383,900,0,26.814185605898473,1.0,0.4627777777777778,4.314185605898473
94,509,390,899,1,26.2692470723084,1.0,0.4668333333333333,3.7692470723083993
95,501,399,900,0,25.73311085623299,1.0,0.4716666666666667,3.23311085623299
96,496,403,899,1,25.13133829992665,1.0,0.4740555555555555,2.63133829992665
97,482,418,900,0,24.513230620177726,1.0,0.4822222222222222,2.013230620177726
98,478,422,900,0,23.73039733405796,1.0,0.48444444444444446,1.2303973340579617
99,482,418,900,0,23.17281268557989,1.0,0.4822222222222222,0.6728126855798884
100,476,423,899,1,22.823982862352523,1.0,0.48516666666666663,0.3239828623525227
101,471,428,899,1,22.525291780719005,1.0,0.4879444444444444,0.025291780719005175
102,467,431,898,2,22.409596551964164,1.0,0.4897777777777777,0.09040344803583622
103,470,430,900,0,22.08052468368607,1.0,0.4888888888888889,0.41947531631393176
104,471,429,900,0,21.994951990587893,1.0,0.48833333333333334,0.505048009412107
105,469,431,900,0,21.978942870196523,1.0,0.48944444444444446,0.5210571298034772
106,464,435,899,1,21.804086085866498,1.0,0.4918333333333333,0.6959139141335022
107,463,434,897,3,21.54019550879848,1.0,0.4916111111111111,0.9598044912015204
108,466,431,897,3,21.505064945410485,1.0,0.4899444444444444,0.994935054589515
109,462,436,898,2,21.49574118705294,1.0,0.4925555555555555,1.0042588129470609
110,459,441,900,0,21.24526384269895,1.0,0.495,1.2547361573010498
111,449,450,899,1,20.97926595382922,1.0,0.5001666666666666,1.5207340461707801
112,447,452,899,1,20.513246779841815,1.0,0.5012777777777777,1.9867532201581852
113,441,458,899,1,20.165570983596957,1.0,0.5046111111111111,2.3344290164030426
114,438,459,897,3,19.833122384676653,1.0,0.5055,2.6668776153233473
115,442,455,897,3,19.570767578786597,1.0,0.5032777777777778,2.9292324212134027
116,443,455,898,2,19.537773338419825,1.0,0.5031111111111112,2.962226661580175
117,446,454,900,0,19.598871021845074,1.0,0.5022222222222222,2.901128978154926
118,447,451,898,2,19.639029824326396,1.0,0.5008888888888889,2.8609701756736037
119,449,450,899,1,19.878147464584565,1.0,0.5001666666666666,2.621852535415435
120,453,445,898,2,20.14739124345895,1.0,0.49755555555555553,2.3526087565410485
121,452,445,897,3,20.308106140337724,1.0,0.4977222222222221,2.191893859662276
122,452,446,898,2,20.476352571870567,1.0,0.49811111111111106,2.0236474281294328
123,453,446,899,1,20.437568055049383,1.0,0.4979444444444444,2.0624319449506174
124,463,437,900,0,20.602879504878256,1.0,0.49277777777777776,1.8971204951217437
